year,state,total_population,with_a_disability,no_disability
2012,South Carolina,3662992,610298,3052694
2012,South Dakota,636473,92159,544314
2012,Tennessee,5031684,903171,4128513
2012,Texas,19357659,2711989,16645670
2012,Utah,2030422,235471,1794951
2012,Vermont,512319,77474,434845
2012,Virginia,6330595,802659,5527936
2012,Washington,5382966,764040,4618926
2012,West Virginia,1485013,327991,1157022
2012,Wisconsin,4489292,595982,3893310
2012,Wyoming,null,null,null
2012,Puerto Rico,2899589,706508,2193081
2014,Alabama,3787162,734433,3052729
2014,Alaska,544897,74088,470809
2014,Arizona,5182784,791880,4390904
2014,Arkansas,2292681,461891,1830790
2014,California,30204466,3805681,26398785
2014,Colorado,4149445,526445,3623000
2014,Connecticut,2864299,366631,2497668
2014,Delaware,739724,102974,636750
2014,District of Columbia,544324,71760,472564
2014,Florida,16002140,2472292,13529848
2014,Georgia,7692298,1154017,6538281
2014,Hawaii,1092188,151579,940609
2014,Idaho,1228736,188397,1040339
2014,Illinois,10064248,1295511,8768737
2014,Indiana,5095193,833430,4261763
2014,Iowa,2420369,329960,2090409
2014,Kansas,2201966,339717,1862249
2014,Kentucky,3425028,712857,2712171
2014,Louisiana,3554454,621312,2933142
2014,Maine,1088363,197477,890886
2014,Maryland,4684980,577977,4107003
2014,Massachusetts,5445357,727683,4717674
2014,Michigan,7848850,1323421,6525429
2014,Minnesota,4260375,535546,3724829
2014,Mississippi,2273592,456191,1817401
2014,Missouri,4717479,817036,3900443
2014,Montana,807830,126155,681675
2014,Nebraska,1435363,196180,1239183
2014,Nevada,2218135,351314,1866821
2014,New Hampshire,1079541,150014,929527
2014,New Jersey,7061220,868031,6193189
2014,New Mexico,1605103,288681,1316422
2014,New York,15758953,2101970,13656983
2014,North Carolina,7710307,1254523,6455784
2014,North Dakota,574482,72449,502033
2014,Ohio,9090874,1471505,7619369
2014,Oklahoma,2950098,568243,2381855
2014,Oregon,3172406,560118,2612288
2014,Pennsylvania,10204066,1611706,8592360
2014,Rhode Island,852855,138280,714575
2014,South Carolina,3774508,660417,3114091
2014,South Dakota,648328,95477,552851
2014,Tennessee,5122756,950559,4172197
2014,Texas,20138539,2847792,17290747
2014,Utah,2104847,252544,1852303
2014,Vermont,514265,85683,428582
2014,Virginia,6454959,874081,5580878
2014,Washington,5529689,853470,4676219
2014,West Virginia,1481670,343794,1137876
2014,Wisconsin,4534797,629704,3905093
2014,Wyoming,452920,66724,386196
2014,Puerto Rico,2851326,700461,2150865
2016,Alabama,3817916,741367,3076549
2016,Alaska,551928,80777,471151
2016,Arizona,5377864,839444,4538420
2016,Arkansas,2305518,466051,1839467
2016,California,30709489,3939885,26769604
2016,Colorado,4326079,543701,3782378
2016,Connecticut,2868519,373802,2494717
2016,Delaware,757326,108209,649117
2016,District of Columbia,560155,71682,488473
2016,Florida,16634979,2613087,14021892
2016,Georgia,7896687,1202673,6694014
2016,Hawaii,1102698,148994,953704
2016,Idaho,1276833,210329,1066504
2016,Illinois,10042389,1309285,8733104
2016,Indiana,5142729,854332,4288397
